Warehouse code	Item code	Item Description	Stock on Hand
ZBF12S	32121501SD00937	Fxd Cap MPC 50+6mF Start+Run	0
ZBF12S	32121501SD01286	Fxd Cap Oil 50mF 450VAC 6 50Hz	2875
ZBF12S	32121501SD01287	Fxd Cap Oil 45mF 450VAC 6 50Hz	359
ZBF12S	32121501SD01288	Fxd Cap Oil 50+4mF 450VAC 9	100
ZBF12S	32121501SD01289	Fxd Cap Oil 50+6mF 450VAC 9	50
ZBF12S	32121501SD01290	Fxd Cap Oil 36+2mF 450VAC 9	75
ZBF12S	32121501SD01291	Fxd Cap Oil 40mF 450VAC 6 50Hz	200
ZBF12S	32121501SD01292	Fxd Cap Oil 36+6mF 450VAC 9	115
ZBF12S	32121501SD01293	Fxd Cap Oil 60mF 450VAC 6 50Hz	50
ZBF12S	32121501SD01294	Fxd Cap Oil 36mF 450VAC 6 50Hz	0
ZBF12S	32121501SD01295	Fxd Cap Oil 50+2mF 450VAC 9	50
ZBF12S	32121501SD01296	Fxd Cap Oil 60+10mF 450VAC 9	25
ZBF12S	32121501SD01297	Fxd Cap Oil 60+2mF 450VAC 9	100
ZBF12S	32121501SD01298	Fxd Cap Oil 55mF 450VAC 6 50Hz	200
ZBF12S	32121501SD01299	Fxd Cap Oil 45+2mF 450VAC 9	125
ZBF12S	32121501SD01300	Fxd Cap Oil 55+5mF 450VAC 9	100
ZBF12S	32121501SD01301	Fxd Cap Oil 45+6mF 450VAC 9	125
ZBF12S	32121501SD01302	Fxd Cap Oil 45+4mF 450VAC 9	0
ZBF12S	32121501SD01303	Fxd Cap Oil 36+4mF 450VAC 9	200
ZBF12S	32121501SD01304	Fxd Cap Oil 60+4mF 450VAC 9	50
ZBF12S	39101612SD00001	Incnd lamp 15W 230V E12	3162
ZBF12S	39101612SD00075	Incnd lamp 15W 220-240V E14	1100
ZBF12S	39101699SD00010	LED Bulb 230V 1.5W Std E12 ST	20
ZBF12S	39101699SD00722	LED Bulb 230V 1.5W Std LUMOS	0
ZBF12S	39101699SD00752	LED Bulb 230V 2W Std E14 Ref	378
ZBF12S	39121002SD00001	TRANSFORMER 300V NEW	194
ZBF12S	39121002SD00003	Transformer 1Ph 18V/200mA	0
ZBF12S	39121041SD00016	VlStb 130-280V 0.5kVA G500 X 9	44
