Old_Item_Code,Old_Item_Desc,New_item_code,New_Item_Desc
RMS97742975,UTLTY SHLF-GD19NATL-SILVER PRT,52141501PA01194,UTLTY SHLF-GD19-NATL-SILVER PR
RMS97742976,CRISPER-GD19-NATL-SILVER PRT  ,31141596DG02214,CRISPER-GD19-NATL-SILVER PRT
RMS97742977,SNUGGER-230L-NEO WHITE        ,31141596DG00270,SNUGGER 245L
RMS97742978,EGG TRAY-230L-NEO WHITE       ,31141596DG00930,EGG TRAY HALF TONE BLUE-GFE25
RMS97742981,ICE TRAY MNTG.-EON-NEO WHITE  ,31141596DG00507,ICE TRAY MOUNTING 310/350 LT
RMS97742982,ICE TRAY SRVR FRAME-NEO WHITE ,31141596DG00507,ICE TRAY MOUNTING 310/350 LT
RMS97742987,HUMIDITY CTRL.KNOB-NEO WHITE  ,31162801DG00114,HUMIDITY CONTROL KNOB245L
RMS97742988,BASE FRHUMDTYCTRL.KNOB-N.WHITE,31141596DG02206,BASEFOR HUMIDITY CTRLKNOB 245L
RMS97742992,TG TRIM 230L NEO WHITE        ,31141596DG00519,TFN GLASS TRIM-LG WHITE GFE25
RMS97742993,TG BTM - 230L NATURAL         ,31141596DG00524,TG BTM - 230L NATURAL
RMS97743060,MFDUCT ASSLY. 310/350 ELECT.  ,52141501PA00072,MFDUCT ASSLY. 310/350 ELECT.
RMS97743096,CONDENSOR MTG.BRKT.-SMALL-DC  ,31162500DG00074,CONDENSOR MTG.BRKT.-SMALL-DC
RMS97743191,EVAPORATION PAN 300 LT        ,31141596DG00160,EVAPORATION PAN AXIS/NEO/300L
RMS97743410,FRZ DR FRONT 180SX/UG/AXIS GP ,31141596DG01081,FRZ DR FRONT 180SX/UG/AXIS GP
RMS97743821,COMPRESSOR MOUNTIG PIN-PLASTIC,31141596DG00290,COMPRESSOR MOUNTIG PIN-PLASTIC
RMS97743841,USER MANUAL FOR CROMA REF     ,55101521SD00210,USER MANUAL FOR CROMA REF
RMS97743844,WIRING DIAGRAM FOR CROM REF   ,55121606SD00422,WIRING DIAGRAM FOR CROMA 230L
RMS97743954,PLASTIC CLAMP FOR DRIER GD19  ,31141596DG00291,PLASTIC CLAMP FOR DRIER MOUNT
