Old_Item_Code,Old_Item_Desc,New_item_code,New_Item_Desc
ABKSHS312MS,Motor Bracket GSC12FS3 WLH    ,32101502SD00883,PCBA DISPLAY PCB GSC18FGWWOG
ABKSHS318MS,Motor Bracket GWC18MC         ,32101502SD00884,PCBA MAIN PCB GSC18FGWWOG RoHS
ABKSHV512MB,Motor Bracket GSC12FV5 HRLH   ,40101701PA04798,Remote Control GSC18FGWWOG
ABKSHV512MS,Motor Bracket GSC12FV5        ,32101502SD00894,PCBA DISPLAY PCB GSC18FGWWOG
ABKSHV518ES,Motor Bracket GSC18FV5        ,32101502SD00422,PCBA MAIN PCB GSC18FGAWOG RoHS
ABKSHV518FM,Motor Bracket GSC18FV5        ,40101701PA04797,Remote Control GSC18FGWWOG
ABKSHV518MS,Motor Bracket GSC18FV5KR      ,32101502SD00468,PCBA DISPLAY PCB GSC18MINVWOM
ABKSHV518SH,Sensor Holder GSC18FV5        ,32101502SD00617,PCBA MAIN PCB GSC18MINVWOM
ABKSHV518VA,Valve Support GSC18FV5        ,32101502SD00875,PCBA PCB ODU GSC18MINVWOM RoHS
ABKSHV518VS,Valve Sub-assembly GSC18FV5   ,32101502SD00880,PCBA DISPLAY BOX ASSY
ABKSLJ218MS,Motor Bracket GSC18FJ2/3WLL   ,32101502SD00474,PCBA DISPLAY PCB GSC24APZRWOU
ABKSME318BM,Motor Bracket GSC18FE3WJM     ,32101502SD00874,PCBA MAIN PCB GSC24APZRWOU
ABKSME318MB,Motor Bracket GSC18FE3WJM     ,40101701PA05553,Remote Control GSC24APZRWOU 2T
ABKSME318RB,RELAY ASSIST BRD GSC18FE3 WJM ,40101701PA04796,Remote Control GSC12TPX3RWPT
ABKSME324ST,Motor Bracket GSC24FE3WJM     ,40101701PA00700,Remote Control GSC 18 GIG 5
ABKSME424MS,Motor Bracket GSC24FE4WJM     ,40101701PA04389,Remote Control GSC18TSZ3RWPT
ABKSME518MS,Motor Bracket GSC18FE5WJM     ,32101502SD00466,PCBA DISPLAY PCB GSC24TSZ3RWPT
ABKSTR125FS,Motor Bracket GSC12FR5WMT     ,40101701PA04801,Remote Control GSC24TSZ3RWPT
ABKSTR318MS,Motor Bracket GSC18FR3WLT     ,32101502SD00436,PCBA MAIN PCB GWC18TGZ3RWPT
ABKSUW243CC,Clamp Capacitor GSC24FW3WNU   ,40101701PA04800,Remote Control GSC18TSZ5RWPT
ABKSUW243LS,LEFT SIDE SUP GSC 24 FW 3 WNU ,40101701PA02114,Remote Control GSC18FW3WOU
ABKSUW243MS,Motor Bracket GSC24FW3WNU     ,40101701PA04390,Remote Control GSC18DG3WOH
ABKSZP212FS,Motor Bracket GSC18FP2WLZ     ,32101502SD00626,PCBA PCB DISP GSC18GIA5AGOG
ABKSZP212OM,Motor Bracket GSC12FP2WLZ     ,40101701PA04391,Remote Control CASSETTE 2T SAC
ABL97722067,Blower 1-SMD5000              ,40101701PA04392,Remote Control CASSETTE 4T SAC
ABL97722125,Blower 5004-8/GSC24F2         ,32101502SD00455,PCBA PCB Main GWC18UGZ5WPR
ABL97729292,Blower GWC9G2                 ,40101701PA02123,Remote Control GWC18UGZ5WPR
ABL97729357,Blower GWC14G2                ,32101502SD00636,PCBA DISPLAY PCB
ABL97729536,Blower GWC19G3                ,40101701PA04802,Remote Control GWC12TGZ3RWPT
ABL97729781,Blower GSC19G1                ,32101502SD00863,PCBA DISPLAY PCB GSC30DG4RWPT
ABL97729812,Blower GSC19G1                ,40101701PA04732,Remote Control GSC30DG4RWPT
ABL97729996,Blower GSC19G1                ,40101701PA04944,Remote Control GSC18MINVWOM
ABL97730035,Blower GSC19G1                ,40101701PA04946,Remote Control GSC12MINVWOM 1T
ABL97730741,Blower GWC24G3                ,40101701PA05315,Remote Control GSC 12 FFZH/
ABL97730815,Blower GSH19G1                ,32101502SD00964,PCBA PCB Main GSC 12 FFZH/DG3
ABL97733049,Blower GSC12/18M4/S4          ,40101701PA05316,Remote Control GSC 12 FFZH/DG3
ABL97735749,Blower GSC13FAWHM             ,32101502SD00965,PCBA PCB Disp GSC18F/SFZM3RWPM
ABL97736416,Blower GSC10FAWHM             ,40101701PA05317,Remote Control GCC18GPM 1.5TR
ABL97736467,Blower GSC18FAWHM             ,32101502SD01852,PCBA PCB Main GSC18USZ5WPR
ABL97736508,Blower GSC10GAWHH             ,32101502SD01867,PCBA DISPLAY PCB GSC 12 FFZH
ABL97736577,Blower GSC13GAWHH             ,40101701PA05735,Remote Control GSC18SFZR5CWQR
ABL97736683,Blower GWC18GA&24GAWHA        ,40101701PA05745,Contactor GSC18UPX5WQR ODU
ABL97739281,Blower GSC10/12FP3WIZ         ,40101701PA05750,Remote Control GSC24FFXZ5CWQZ
ABL97740158,Blower GSC12FM/18FP5MIZ       ,40101701PA01056,Remote Control GSC10FD3WHH
ABL97740343,Blower GSC10FS3WIH            ,32101502SD00039,PCBA Main Pcb Midea
ABL97740396,Blower GSC12FS3/FK3WIH        ,40101701PA01042,Remote Control GSC12FD3WJH 1T
ABL97740444,Blower GSC18FS3/FG6           ,32101502SD00037,PCBA Main Pcb Midea
ABL97743476,Blower (1TYTSU)               ,40101701PA01055,Remote Control GSC18FD3WJH
